mileage,avg_fuel_consumption,price,age,mileage/age,transmission_type_Düz,transmission_type_Otomatik,transmission_type_Yarı Otomatik,changed,painted
199000,4,484750,11,18090,True,False,False,3,3
156000,1,590000,9,17333,True,False,False,1,1
100000,1,735000,7,14285,True,False,False,0,2
53508,0,685000,8,6688,False,False,True,1,1
113000,1,605000,8,14125,True,False,False,0,0
140000,4,627500,11,12727,True,False,False,0,0
168000,4,635000,8,21000,False,False,True,0,2
200000,4,525000,10,20000,True,False,False,3,1
178000,1,530000,12,14833,True,False,False,0,0
170000,4,645000,8,21250,False,False,True,1,1
105000,4,775000,6,17500,False,False,True,1,0
184500,4,539000,10,18450,True,False,False,1,4
188000,1,479000,8,23500,True,False,False,1,4
100000,0,735000,8,12500,False,False,True,0,1
120000,4,650000,7,17142,False,False,True,2,2
118000,1,631500,9,13111,True,False,False,1,2
63700,4,785000,7,9100,False,False,True,0,0
96000,4,740000,7,13714,True,False,False,0,0
567000,4,440000,7,81000,True,False,False,1,2
30000,4,825000,6,5000,False,False,True,0,1
130000,4,750000,6,21666,False,False,True,0,0
135000,4,630000,8,16875,True,False,False,2,3
183000,1,660000,7,26142,True,False,False,1,0
261000,4,500000,11,23727,True,False,False,0,0
140000,1,490000,11,12727,True,False,False,2,4
146700,3,535500,12,12225,True,False,False,1,0
133900,3,555000,12,11158,True,False,False,0,7
213000,4,475000,11,19363,True,False,False,1,3
166000,4,540000,10,16600,True,False,False,3,3
232000,4,675000,7,33142,True,False,False,1,1
113500,4,705000,8,14187,True,False,False,0,0
84000,4,675000,10,8400,True,False,False,0,0
110000,4,710000,7,15714,False,False,True,0,0
210000,1,440000,10,21000,True,False,False,1,2
157000,4,635000,12,13083,True,False,False,0,0
235000,1,595000,8,29375,True,False,False,0,0
210000,3,480000,12,17500,True,False,False,0,2
144750,2,465000,14,10339,True,False,False,1,2
108000,1,640000,9,12000,True,False,False,1,1
20670,0,840000,5,4134,False,False,True,0,0
125000,4,650000,7,17857,True,False,False,2,2
189000,4,515000,11,17181,True,False,False,2,1
194000,4,470000,9,21555,True,False,False,2,8
117500,2,530000,13,9038,True,False,False,0,0
20000,4,795000,6,3333,True,False,False,0,0
105000,1,645000,11,9545,True,False,False,1,0
185000,4,640000,7,26428,True,False,False,0,0
79962,4,615000,10,7996,True,False,False,2,2
105000,4,650000,9,11666,True,False,False,0,0
39500,4,660000,10,3950,True,False,False,0,2
223000,4,459999,13,17153,True,False,False,1,2
141000,1,674000,7,20142,True,False,False,0,0
246000,4,470000,12,20500,True,False,False,1,1
120000,4,530000,8,15000,False,False,True,1,5
192000,4,540000,12,16000,True,False,False,0,0
165000,4,570000,11,15000,True,False,False,0,0
800000,4,365000,9,88888,True,False,False,0,13
275000,4,535000,9,30555,True,False,False,0,2
128500,1,585000,10,12850,True,False,False,1,4
166000,4,605000,9,18444,True,False,False,1,0
195000,4,625000,10,19500,True,False,False,0,0
289000,4,550000,8,36125,True,False,False,1,1
107000,4,670000,8,13375,True,False,False,1,1
142000,4,620000,8,17750,True,False,False,2,2
58000,4,720000,7,8285,False,False,True,2,0
106500,4,720000,6,17750,True,False,False,0,0
72000,4,680000,6,12000,True,False,False,1,0
98000,4,570000,9,10888,True,False,False,1,2
224000,4,595000,6,37333,True,False,False,1,1
262000,4,450000,13,20153,True,False,False,0,0
183000,2,493000,13,14076,True,False,False,0,2
105000,4,575000,9,11666,True,False,False,0,3
139000,4,590000,12,11583,True,False,False,0,2
157000,1,575000,10,15700,True,False,False,2,0
101000,4,698000,8,12625,False,False,True,1,0
90000,1,695000,6,15000,True,False,False,1,0
135000,4,750000,8,16875,False,False,True,0,2
89300,4,648000,8,11162,True,False,False,0,2
117000,4,520000,13,9000,True,False,False,1,2
237000,4,430000,7,33857,True,False,False,2,1
199000,2,380000,12,16583,True,False,False,0,12
189500,4,530000,12,15791,True,False,False,1,3
190000,4,370000,10,19000,True,False,False,2,12
200000,1,685000,5,40000,True,False,False,1,0
165000,3,548000,12,13750,True,False,False,0,2
142000,4,695000,9,15777,True,False,False,0,0
147500,4,725000,7,21071,True,False,False,0,3
164000,4,480000,7,23428,True,False,False,3,0
475000,1,405000,9,52777,True,False,False,0,13
185000,4,530000,12,15416,True,False,False,2,1
157800,3,569000,11,14345,True,False,False,0,3
99000,4,585000,8,12375,True,False,False,3,0
30000,4,675000,9,3333,True,False,False,0,0
540000,4,370000,9,60000,True,False,False,1,4
38000,1,850000,7,5428,True,False,False,0,0
144000,0,744500,7,20571,False,False,True,0,2
53000,0,802000,7,7571,False,False,True,0,0
111000,4,719500,7,15857,False,True,False,0,0
128800,1,650000,8,16100,True,False,False,0,1
45000,1,785000,7,6428,True,False,False,0,0
179000,1,615000,8,22375,True,False,False,0,1
235000,1,582000,8,29375,True,False,False,1,2
170000,1,410000,8,21250,True,False,False,2,9
136000,3,595000,12,11333,True,False,False,0,2
95300,0,740000,8,11912,False,False,True,2,0
147000,3,584000,11,13363,True,False,False,0,0
197000,1,328500,10,19700,True,False,False,0,13
174000,1,510000,11,15818,True,False,False,2,4
134000,1,600000,12,11166,True,False,False,0,0
258000,1,489999,9,28666,True,False,False,3,1
272000,1,511500,8,34000,True,False,False,0,2
330000,1,375000,10,33000,True,False,False,1,2
216000,4,585000,11,19636,True,False,False,0,1
58000,1,660000,8,7250,True,False,False,0,2
218000,1,425000,9,24222,True,False,False,1,3
189000,2,520000,13,14538,True,False,False,0,0
218000,1,580000,9,24222,True,False,False,0,2
151000,0,730000,7,21571,False,False,True,0,2
145000,1,410000,8,18125,True,False,False,0,13
165000,1,649000,7,23571,True,False,False,0,0
205000,1,575000,7,29285,True,False,False,1,0
164000,4,565000,11,14909,True,False,False,0,3
83000,1,680000,7,11857,True,False,False,1,0
254500,3,490000,11,23136,True,False,False,1,1
193500,1,575000,9,21500,True,False,False,1,0
212000,1,505000,10,21200,True,False,False,1,3
126000,1,625000,8,15750,True,False,False,1,3
120250,1,710000,8,15031,True,False,False,0,0
215000,1,590000,9,23888,True,False,False,1,0
125000,1,685000,9,13888,True,False,False,0,1
90000,1,680000,8,11250,True,False,False,1,1
133000,3,575000,12,11083,True,False,False,0,0
114000,3,480000,12,9500,True,False,False,2,9
173000,0,590000,8,21625,False,False,True,1,0
163000,1,620000,9,18111,True,False,False,0,0
77000,1,685000,9,8555,True,False,False,0,0
150000,4,570000,11,13636,True,False,False,0,0
137000,4,689000,7,19571,False,True,False,0,2
164000,1,570000,9,18222,True,False,False,3,0
137000,1,679500,8,17125,True,False,False,0,0
116000,1,475000,9,12888,True,False,False,1,3
207000,4,510000,12,17250,True,False,False,0,0
