listing_date,year,mileage,transmission_type,color,avg_fuel_consumption,paint_changed,seller_type,price,heavy_damage
14 Mayıs 2025,2014,260.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,455.000 TL,No
14 Mayıs 2025,2017,126.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,811.750 TL,No
14 Mayıs 2025,2016,180.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,460.000 TL,No
14 Mayıs 2025,2012,109.000 km,Düz,Kırmızı,,Tamamı orjinal,Galeriden,645.000 TL,No
14 Mayıs 2025,2017,119.000 km,Düz,Siyah,4 lt,Tamamı orjinal,Galeriden,799.900 TL,No
14 Mayıs 2025,2015,125.000 km,Düz,Mavi,,1 boyalı,Sahibinden,700.000 TL,No
14 Mayıs 2025,2017,84.688 km,Yarı Otomatik,Gri,"3,8 lt",3 boyalı,Sahibinden,830.000 TL,No
14 Mayıs 2025,2012,187.000 km,Düz,Mavi,5 lt,2 boyalı,Sahibinden,585.000 TL,No
14 Mayıs 2025,2015,240.000 km,Düz,Kırmızı,4 lt,"2 değişen, 1 boyalı",Sahibinden,555.000 TL,No
14 Mayıs 2025,2016,167.000 km,Düz,Gri (Gümüş),4 lt,Tamamı orjinal,Sahibinden,685.000 TL,No
14 Mayıs 2025,2012,150.000 km,Düz,Füme,5 lt,Tamamı orjinal,Sahibinden,575.000 TL,No
14 Mayıs 2025,2017,141.000 km,Düz,Mavi,4 lt,4 değişen,Sahibinden,600.000 TL,No
14 Mayıs 2025,2017,96.500 km,Düz,Gri (metalik),4 lt,3 boyalı,Sahibinden,850.000 TL,No
14 Mayıs 2025,2017,169.000 km,Düz,Beyaz,4 lt,Belirtilmemiş,Galeriden,745.000 TL,No
14 Mayıs 2025,2016,155.000 km,Düz,Füme,4 lt,"1 değişen, 2 boyalı",Sahibinden,655.000 TL,No
14 Mayıs 2025,2016,168.000 km,Düz,Siyah,4 lt,1 değişen,Sahibinden,685.000 TL,No
14 Mayıs 2025,2015,225.000 km,Düz,Gri (Gümüş),4 lt,Belirtilmemiş,Sahibinden,580.000 TL,No
14 Mayıs 2025,2012,370.000 km,Düz,Gri,"4,5 lt",Belirtilmemiş,Sahibinden,450.000 TL,No
14 Mayıs 2025,2013,105.000 km,Düz,Gri (Gümüş),4 lt,Tamamı orjinal,Sahibinden,700.000 TL,No
14 Mayıs 2025,2016,82.500 km,Yarı Otomatik,Siyah,"3,8 lt","1 değişen, 1 boyalı",Sahibinden,835.000 TL,No
14 Mayıs 2025,2017,170.000 km,Düz,Mavi,4 lt,2 boyalı,Galeriden,725.000 TL,No
14 Mayıs 2025,2014,146.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,665.000 TL,No
