yas,kilometre,ort_yakit_tuketimi,fiyat,kilometre/yas,vites_tipi_duz,vites_tipi_otomatik,vites_tipi_yari_otomatik,degisen,boyali
10,200000,4.2,525000,20000,True,False,False,3,1
12,178000,4.0,530000,14833,True,False,False,0,0
8,170000,3.8,645000,21250,False,False,True,1,1
6,105000,3.8,775000,17500,False,False,True,0,0
10,184500,4.3,539000,18450,True,False,False,1,4
8,188000,4.0,479000,23500,True,False,False,1,3
8,100000,3.8,735000,12500,False,False,True,0,1
7,120000,3.8,650000,17142,False,False,True,2,2
9,118000,4.0,631500,13111,True,False,False,1,1
7,63700,3.8,785000,9100,False,False,True,0,0
7,96000,4.0,740000,13714,True,False,False,0,0
7,567000,4.4,440000,81000,True,False,False,1,2
6,30000,3.8,825000,5000,False,False,True,0,1
6,130000,3.8,750000,21666,False,False,True,0,0
8,135000,4.0,630000,16875,True,False,False,2,3
7,183000,4.0,660000,26142,True,False,False,0,0
11,261000,4.7,500000,23727,True,False,False,0,0
11,140000,4.0,490000,12727,True,False,False,2,4
12,146700,5.0,535500,12225,True,False,False,1,0
12,133900,5.0,555000,11158,True,False,False,0,7
11,213000,4.9,475000,19363,True,False,False,1,3
10,166000,4.0,540000,16600,True,False,False,3,3
7,232000,4.0,675000,33142,True,False,False,1,1
8,113500,4.0,705000,14187,True,False,False,0,0
10,84000,4.2,675000,8400,True,False,False,0,0
7,110000,3.8,710000,15714,False,False,True,0,0
10,210000,4.0,440000,21000,True,False,False,1,2
12,157000,4.5,635000,13083,True,False,False,0,0
8,235000,4.0,595000,29375,True,False,False,0,0
12,210000,5.0,480000,17500,True,False,False,0,2
14,144750,4.5,465000,10339,True,False,False,1,2
9,108000,4.0,640000,12000,True,False,False,1,1
5,20670,3.8,840000,4134,False,False,True,0,0
7,125000,4.0,650000,17857,True,False,False,2,2
11,189000,4.6,515000,17181,True,False,False,2,1
9,194000,4.0,470000,21555,True,False,False,2,8
13,117500,4.5,530000,9038,True,False,False,0,0
6,20000,4.0,795000,3333,True,False,False,0,0
11,105000,4.0,645000,9545,True,False,False,1,0
7,185000,4.0,640000,26428,True,False,False,0,0
10,79962,4.2,615000,7996,True,False,False,2,2
9,105000,4.0,650000,11666,True,False,False,0,0
10,39500,4.2,660000,3950,True,False,False,0,2
13,223000,4.8,459999,17153,True,False,False,1,2
7,141000,4.0,674000,20142,True,False,False,0,0
12,246000,4.7,470000,20500,True,False,False,1,1
8,120000,3.8,530000,15000,False,False,True,1,5
12,192000,4.6,540000,16000,True,False,False,0,0
11,165000,4.9,570000,15000,True,False,False,0,0
9,800000,4.3,365000,88888,True,False,False,0,13
9,275000,4.0,535000,30555,True,False,False,0,2
10,128500,4.0,585000,12850,True,False,False,1,4
9,166000,4.3,605000,18444,True,False,False,1,1
10,195000,4.1,625000,19500,True,False,False,0,0
8,289000,4.0,550000,36125,True,False,False,1,2
8,107000,4.0,670000,13375,True,False,False,0,1
8,142000,4.2,620000,17750,True,False,False,2,2
7,58000,3.8,720000,8285,False,False,True,2,0
6,106500,4.0,720000,17750,True,False,False,0,0
6,72000,4.0,680000,12000,True,False,False,1,0
9,98000,4.1,570000,10888,True,False,False,1,2
6,224000,4.0,595000,37333,True,False,False,1,1
13,262000,4.7,450000,20153,True,False,False,0,0
13,183000,4.5,493000,14076,True,False,False,0,2
9,105000,4.0,575000,11666,True,False,False,0,3
12,139000,4.9,590000,11583,True,False,False,0,1
10,157000,4.0,575000,15700,True,False,False,2,0
8,101000,3.8,698000,12625,False,False,True,1,0
6,90000,4.0,695000,15000,True,False,False,1,0
8,135000,3.8,750000,16875,False,False,True,0,0
8,89300,4.0,648000,11162,True,False,False,0,2
13,117000,4.5,520000,9000,True,False,False,1,2
7,237000,4.0,430000,33857,True,False,False,2,1
12,199000,4.5,380000,16583,True,False,False,0,12
12,189500,4.5,530000,15791,True,False,False,1,3
10,190000,4.1,370000,19000,True,False,False,2,13
5,200000,4.0,685000,40000,True,False,False,1,0
12,165000,5.0,548000,13750,True,False,False,0,2
9,142000,4.0,695000,15777,True,False,False,0,0
7,147500,4.0,725000,21071,True,False,False,0,3
7,164000,4.0,480000,23428,True,False,False,3,0
9,475000,4.0,405000,52777,True,False,False,0,13
12,185000,4.4,530000,15416,True,False,False,2,1
11,157800,5.0,569000,14345,True,False,False,0,3
8,99000,4.0,585000,12375,True,False,False,3,0
9,30000,4.1,675000,3333,True,False,False,0,0
9,540000,4.3,370000,60000,True,False,False,1,13
7,38000,4.0,850000,5428,True,False,False,0,0
7,144000,3.8,744500,20571,False,False,True,0,1
7,53000,3.8,802000,7571,False,False,True,0,0
7,111000,3.9,719500,15857,False,True,False,0,0
8,128800,4.0,650000,16100,True,False,False,0,1
7,45000,4.0,785000,6428,True,False,False,0,0
8,179000,4.0,615000,22375,True,False,False,0,1
8,235000,4.0,582000,29375,True,False,False,1,2
8,170000,4.0,410000,21250,True,False,False,2,12
12,136000,5.0,595000,11333,True,False,False,0,1
8,95300,3.8,740000,11912,False,False,True,2,0
11,147000,5.0,584000,13363,True,False,False,0,0
10,197000,4.0,328500,19700,True,False,False,0,13
11,174000,4.0,510000,15818,True,False,False,2,4
12,134000,4.0,600000,11166,True,False,False,0,0
9,258000,4.0,489999,28666,True,False,False,3,1
8,272000,4.0,511500,34000,True,False,False,0,2
10,330000,4.0,375000,33000,True,False,False,1,13
11,216000,4.8,585000,19636,True,False,False,0,1
8,58000,4.0,660000,7250,True,False,False,0,2
9,218000,4.0,425000,24222,True,False,False,1,3
13,189000,4.5,520000,14538,True,False,False,0,0
