İlan Tarihi,Kilometre/Yaş,Vites Tipi,Renk,Ort. Yakıt Tüketimi,Kimden,Ağır Hasarlı,Değişen,Boyalı,Fiyat
2,6688,2,2,3.8,1,1,1,1,20046
2,14125,0,11,4.0,1,1,0,0,17705
2,12727,0,9,,0,1,0,0,18364
2,21000,2,7,,1,1,0,2,18583
2,20000,0,9,,1,1,3,1,15364
2,14833,0,7,4.0,1,1,0,0,15510
2,21250,2,2,,1,1,,,18876
2,17500,2,9,,1,1,,,22680
2,18450,0,1,,1,1,1,4,15774
2,23500,0,4,4.0,1,1,,,14018
2,12500,2,6,3.8,1,1,,,21510
2,17142,2,9,,1,1,2,2,19022
2,13111,0,3,4.0,0,1,,,18481
2,9100,2,3,,1,1,,,22973
2,13714,0,9,,1,1,0,0,21656
2,81000,0,7,,1,1,1,2,12876
2,5000,2,7,,1,1,0,1,24143
2,21666,2,4,,1,1,0,0,21949
0,16875,0,9,,1,1,2,3,18437
0,26142,0,7,4.0,1,1,,,19315
0,23727,0,7,,1,1,0,0,14632
0,12727,0,7,4.0,1,1,2,4,14340
0,12225,0,2,5.0,1,1,1,0,15671
0,11158,0,2,5.0,0,1,0,7,16242
0,19363,0,0,,1,1,,,13901
0,16600,0,11,,1,1,3,3,15803
0,33142,0,11,,1,1,1,1,19754
0,14187,0,7,,1,1,0,0,20632
0,8400,0,1,,1,1,0,0,19754
0,15714,2,4,,1,1,0,0,20778
0,21000,0,0,4.0,1,1,1,2,12876
0,13083,0,3,,1,1,0,0,18583
0,29375,0,10,4.0,1,1,0,0,17412
0,17500,0,2,5.0,1,1,0,2,14047
0,10339,0,3,4.5,1,1,1,2,13608
0,12000,0,7,4.0,1,1,,,18729
0,4134,2,6,3.8,1,1,0,0,24582
0,17857,0,4,,1,1,2,2,19022
0,17181,0,11,,1,1,2,1,15071
0,21555,0,9,,1,1,2,8,13754
0,9038,0,3,4.5,1,1,0,0,15510
0,3333,0,9,,1,1,0,0,23266
0,9545,0,4,4.0,1,1,1,0,18876
0,26428,0,0,,1,1,0,0,18729
0,7996,0,3,,1,1,2,2,17998
0,11666,0,7,,1,1,0,0,19022
0,3950,0,11,,1,1,0,2,19315
0,17153,0,2,,1,1,1,2,13462
0,20142,0,9,4.0,1,1,0,0,19724
0,20500,0,7,,1,1,1,1,13754
0,15000,2,3,,1,0,1,5,15510
0,16000,0,10,,1,1,0,0,15803
0,15000,0,9,,1,1,0,0,16681
0,88888,0,9,,1,1,0,13,10681
0,30555,0,3,,1,1,0,2,15657
0,12850,0,10,4.0,1,1,1,4,17120
0,18444,0,9,,1,1,,,17705
0,19500,0,5,,1,1,0,0,18290
0,36125,0,11,,1,1,,,16095
0,13375,0,5,,1,1,,,19607
0,17750,0,3,,1,1,2,2,18144
0,8285,2,2,,1,1,2,0,21071
0,17750,0,4,,1,1,0,0,21071
0,12000,0,2,,1,1,,,19900
0,10888,0,11,,1,1,,,16681
0,37333,0,0,,1,1,1,1,17412
0,20153,0,4,,1,1,0,0,13169
0,14076,0,2,4.5,1,1,0,2,14427
0,11666,0,11,,1,1,0,3,16827
0,11583,0,1,,1,1,,,17266
0,15700,0,11,4.0,1,1,2,0,16827
0,12625,2,2,,1,1,1,0,20427
0,15000,0,2,4.0,1,1,1,0,20339
0,16875,2,11,,1,1,,,21949
0,11162,0,2,,1,1,0,2,18964
0,9000,0,7,,1,1,1,2,15218
0,33857,0,11,,1,1,2,1,12584
0,16583,0,2,4.5,1,1,0,12,11120
0,15791,0,4,,1,1,1,3,15510
0,19000,0,9,,1,0,,,10828
0,40000,0,0,4.0,1,1,1,0,20046
0,13750,0,2,5.0,1,1,0,2,16037
0,15777,0,1,,1,1,0,0,20339
0,21071,0,11,,1,1,0,3,21217
0,23428,0,7,,1,0,3,0,14047
0,52777,0,7,4.0,1,1,0,13,11852
0,23142,0,9,,1,1,1,2,17559
0,15416,0,2,,1,1,2,1,15510
0,14345,0,7,5.0,1,1,0,3,16652
0,12375,0,4,,1,1,3,0,17120
0,3333,0,9,,1,1,0,0,19754
0,60000,0,11,,1,1,,,10828
